cell,time_sec
20191018.0.1.13,7200
20191018.0.1.14,7200
20191018.0.1.15,7200
20191018.0.1.16,7200
20191018.0.1.17,7200
20191018.0.1.18,7200
20191018.0.1.19,9000
20191018.0.1.20,9000
20191018.0.1.21,9720
20191018.0.1.22,9720
20191018.0.1.23,9900
20191018.0.1.24,9900
20191018.0.1.25,13140
20191018.0.1.26,13140
20191018.0.1.27,13320
20191018.0.1.28,13320
20191018.0.1.29,14040
20191018.0.1.30,14040
20191018.0.1.31,16560
20191018.0.1.32,16560
20191018.0.1.33,16560
20191018.0.1.34,16560
20191018.0.1.35,16740
20191018.0.1.36,16740
20191018.0.1.37,19620
20191018.0.1.38,19620
20191018.0.1.39,20340
20191018.0.1.40,20340
20191018.0.1.41,20340
20191018.0.1.42,20340
20191018.0.1.43,20340
20191018.0.1.44,20340
20191018.0.1.45,23760
20191018.0.1.46,23760
20191018.0.1.47,24300
20191018.0.1.48,24300
20191018.0.1.49,24480
20191018.0.1.50,24480
20191018.0.1.51,24840
20191018.0.1.52,24840
20191018.0.1.53,27720
20191018.0.1.54,27720
20191018.0.1.55,28980
20191018.0.1.56,28980
20191018.0.1.57,31320
20191018.0.1.58,31320
20191018.0.1.59,32940
20191018.0.1.60,32940
20191018.0.1.61,32940
20191018.0.1.62,32940
20191018.0.1.63,33120
20191018.0.1.64,33120
20191018.0.1.65,34020
20191018.0.1.66,34020
20191018.0.1.67,35820
20191018.0.1.68,35820
20191018.0.1.69,39420
20191018.0.1.70,39420
20191018.0.1.71,41400
20191018.0.1.72,41400
20191018.0.1.73,43020
20191018.0.1.74,43020
20191018.0.1.75,43200
20191018.0.1.76,43200
20191018.0.10.10,8100
20191018.0.10.11,8100
20191018.0.10.12,9000
20191018.0.10.13,9000
20191018.0.10.14,9000
20191018.0.10.15,9000
20191018.0.10.16,10620
20191018.0.10.17,10620
20191018.0.10.18,11880
20191018.0.10.19,11880
20191018.0.10.20,12060
20191018.0.10.21,12060
20191018.0.10.22,15840
20191018.0.10.23,15840
20191018.0.10.24,16200
20191018.0.10.25,16200
20191018.0.10.26,16560
20191018.0.10.27,16560
20191018.0.10.28,16740
20191018.0.10.29,16740
20191018.0.10.30,19800
20191018.0.10.31,19800
20191018.0.10.32,20340
20191018.0.10.33,20340
20191018.0.10.34,20700
20191018.0.10.35,20700
20191018.0.10.36,23580
20191018.0.10.37,23580
20191018.0.10.38,23940
20191018.0.10.39,23940
20191018.0.10.4,7200
20191018.0.10.40,25200
20191018.0.10.41,25200
20191018.0.10.42,25560
20191018.0.10.43,25560
20191018.0.10.44,26640
20191018.0.10.45,26640
20191018.0.10.46,28440
20191018.0.10.47,28440
20191018.0.10.48,28800
20191018.0.10.49,28800
20191018.0.10.5,7200
20191018.0.10.50,28980
20191018.0.10.51,28980
20191018.0.10.52,31140
20191018.0.10.53,31140
20191018.0.10.54,31500
20191018.0.10.55,31500
20191018.0.10.56,31860
20191018.0.10.57,31860
20191018.0.10.58,34380
20191018.0.10.59,34380
20191018.0.10.6,7200
20191018.0.10.60,35460
20191018.0.10.61,35460
20191018.0.10.62,36180
20191018.0.10.63,36180
20191018.0.10.64,38160
20191018.0.10.65,38160
20191018.0.10.66,38340
20191018.0.10.67,38340
20191018.0.10.68,39780
20191018.0.10.69,39780
20191018.0.10.7,7200
20191018.0.10.70,40140
20191018.0.10.71,40140
20191018.0.10.72,42120
20191018.0.10.73,42120
20191018.0.10.74,42840
20191018.0.10.75,42840
20191018.0.10.8,7200
20191018.0.10.9,7200
20191018.0.11.12,7200
20191018.0.11.13,7200
20191018.0.11.16,7200
20191018.0.11.17,7200
20191018.0.11.18,7200
20191018.0.11.19,7200
20191018.0.11.20,9180
